,Country,City,country_city
33,United arab emirates,Esnnad,"Esnnad, United arab emirates"
34,United arab emirates,Fateh Terminal,"Fateh Terminal, United arab emirates"
35,United arab emirates,Free Port,"Free Port, United arab emirates"
36,United arab emirates,Habshan,"Habshan, United arab emirates"
37,United arab emirates,Hail,"Hail, United arab emirates"
38,United arab emirates,Hamriya Free Zone Port,"Hamriya Free Zone Port, United arab emirates"
39,United arab emirates,Hassyan,"Hassyan, United arab emirates"
40,United arab emirates,Hatta,"Hatta, United arab emirates"
41,United arab emirates,Hulaylah Terminal,"Hulaylah Terminal, United arab emirates"
42,United arab emirates,Indooroodilly,"Indooroodilly, United arab emirates"
43,United arab emirates,Jebel Ali,"Jebel Ali, United arab emirates"
44,United arab emirates,Jebel Ali Free Zone,"Jebel Ali Free Zone, United arab emirates"
45,United arab emirates,Jebel Dhanna,"Jebel Dhanna, United arab emirates"
46,United arab emirates,Jumayrah,"Jumayrah, United arab emirates"
47,United arab emirates,Kalba,"Kalba, United arab emirates"
48,United arab emirates,Khalidia,"Khalidia, United arab emirates"
49,United arab emirates,Khor al Fakkan,"Khor al Fakkan, United arab emirates"
50,United arab emirates,Masfut,"Masfut, United arab emirates"
51,United arab emirates,Mina Khalid,"Mina Khalid, United arab emirates"
52,United arab emirates,Mina Khalifa/Abu Dhabi,"Mina Khalifa/Abu Dhabi, United arab emirates"
53,United arab emirates,Mina Rashid Port,"Mina Rashid Port, United arab emirates"
54,United arab emirates,Mina Saqr,"Mina Saqr, United arab emirates"
55,United arab emirates,Mina Zayed/Abu Dhabi,"Mina Zayed/Abu Dhabi, United arab emirates"
56,United arab emirates,Minhad,"Minhad, United arab emirates"
57,United arab emirates,Mirfa,"Mirfa, United arab emirates"
58,United arab emirates,Mubarek Terminal,"Mubarek Terminal, United arab emirates"
59,United arab emirates,Mubarras Island,"Mubarras Island, United arab emirates"
60,United arab emirates,Musafa,"Musafa, United arab emirates"
61,United arab emirates,Mussafah,"Mussafah, United arab emirates"
62,United arab emirates,Offshore Fujairah,"Offshore Fujairah, United arab emirates"
63,United arab emirates,Port Rashid,"Port Rashid, United arab emirates"
64,United arab emirates,Rak Khor Port,"Rak Khor Port, United arab emirates"
65,United arab emirates,Rak Maritime City,"Rak Maritime City, United arab emirates"
66,United arab emirates,Ras al Khaimah,"Ras al Khaimah, United arab emirates"
67,United arab emirates,Ras Al Khor,"Ras Al Khor, United arab emirates"
68,United arab emirates,Ras Zubbaya (Ras Dubayyah),"Ras Zubbaya (Ras Dubayyah), United arab emirates"
69,United arab emirates,Reem Island,"Reem Island, United arab emirates"
70,United arab emirates,Ruwais Port,"Ruwais Port, United arab emirates"
71,United arab emirates,Sadiyat Island,"Sadiyat Island, United arab emirates"
72,United arab emirates,Sharjah,"Sharjah, United arab emirates"
73,United arab emirates,Sila,"Sila, United arab emirates"
74,United arab emirates,Stevin Rock,"Stevin Rock, United arab emirates"
75,United arab emirates,Swaihan,"Swaihan, United arab emirates"
76,United arab emirates,The Palm Jumeirah,"The Palm Jumeirah, United arab emirates"
77,United arab emirates,Umm Al Nar,"Umm Al Nar, United arab emirates"
78,United arab emirates,Umm al Quwain,"Umm al Quwain, United arab emirates"
79,United arab emirates,Vopak Horizion Terminal,"Vopak Horizion Terminal, United arab emirates"
80,United arab emirates,Yas Island,"Yas Island, United arab emirates"
81,United arab emirates,Zirku Island,"Zirku Island, United arab emirates"
82,Afghanistan,Ali Shirzayi,"Ali Shirzayi, Afghanistan"
83,Afghanistan,Bagram,"Bagram, Afghanistan"
84,Afghanistan,Bamian,"Bamian, Afghanistan"
85,Afghanistan,Bazar-E-Panjwai,"Bazar-E-Panjwai, Afghanistan"
86,Afghanistan,Bost,"Bost, Afghanistan"
87,Afghanistan,Camp Bastion,"Camp Bastion, Afghanistan"
88,Afghanistan,Camp Dwyer,"Camp Dwyer, Afghanistan"
89,Afghanistan,Camp Leatherneck,"Camp Leatherneck, Afghanistan"
90,Afghanistan,Camp Salerno,"Camp Salerno, Afghanistan"
91,Afghanistan,Camp Wolverine,"Camp Wolverine, Afghanistan"
92,Afghanistan,Chaghcharan,"Chaghcharan, Afghanistan"
93,Afghanistan,Darwaz,"Darwaz, Afghanistan"
94,Afghanistan,Dehdadi,"Dehdadi, Afghanistan"
95,Afghanistan,Eslam Qal'eh,"Eslam Qal'eh, Afghanistan"
96,Afghanistan,Faizabad,"Faizabad, Afghanistan"
97,Afghanistan,Farah,"Farah, Afghanistan"
98,Afghanistan,FOB Frontenac,"FOB Frontenac, Afghanistan"
99,Afghanistan,FOB Ramrod,"FOB Ramrod, Afghanistan"
100,Afghanistan,FOB Shank,"FOB Shank, Afghanistan"
101,Afghanistan,Gardez,"Gardez, Afghanistan"
102,Afghanistan,Gardiz,"Gardiz, Afghanistan"
103,Afghanistan,Ghazni,"Ghazni, Afghanistan"
104,Afghanistan,Hairatan,"Hairatan, Afghanistan"
105,Afghanistan,Herat,"Herat, Afghanistan"
106,Afghanistan,Jalalabad,"Jalalabad, Afghanistan"
107,Afghanistan,Kabul,"Kabul, Afghanistan"
108,Afghanistan,Kamu,"Kamu, Afghanistan"
109,Afghanistan,Kandahar,"Kandahar, Afghanistan"
110,Afghanistan,Khost,"Khost, Afghanistan"
111,Afghanistan,Khowst,"Khowst, Afghanistan"
112,Afghanistan,Khowst,"Khowst, Afghanistan"
113,Afghanistan,Khwahan,"Khwahan, Afghanistan"
114,Afghanistan,Kunduz,"Kunduz, Afghanistan"
115,Afghanistan,Kuran-O-Munjan,"Kuran-O-Munjan, Afghanistan"
116,Afghanistan,Lashkar Gah,"Lashkar Gah, Afghanistan"
117,Afghanistan,Maimana,"Maimana, Afghanistan"
118,Afghanistan,Maiwand,"Maiwand, Afghanistan"
119,Afghanistan,Mashad,"Mashad, Afghanistan"
120,Afghanistan,Mazar-i-Sharif,"Mazar-i-Sharif, Afghanistan"
121,Afghanistan,Mehtar Lam,"Mehtar Lam, Afghanistan"
122,Afghanistan,Meydan,"Meydan, Afghanistan"
123,Afghanistan,Nimroz,"Nimroz, Afghanistan"
124,Afghanistan,Orgun-E Kalan,"Orgun-E Kalan, Afghanistan"
125,Afghanistan,Pasaband,"Pasaband, Afghanistan"
126,Afghanistan,Pol-e Charkhi,"Pol-e Charkhi, Afghanistan"
127,Afghanistan,Qala Nau,"Qala Nau, Afghanistan"
128,Afghanistan,Qalat,"Qalat, Afghanistan"
129,Afghanistan,Qal'Eh-Ye Now,"Qal'Eh-Ye Now, Afghanistan"
130,Afghanistan,Qasim,"Qasim, Afghanistan"
131,Afghanistan,Sardeh Band,"Sardeh Band, Afghanistan"
132,Afghanistan,Sharona,"Sharona, Afghanistan"
133,Afghanistan,Sheghnan,"Sheghnan, Afghanistan"
134,Afghanistan,Sherhan-Bandar,"Sherhan-Bandar, Afghanistan"
135,Afghanistan,Shindand,"Shindand, Afghanistan"
136,Afghanistan,Spin Boldak,"Spin Boldak, Afghanistan"
137,Afghanistan,Taluqan,"Taluqan, Afghanistan"
138,Afghanistan,Tarin Kowt,"Tarin Kowt, Afghanistan"
139,Afghanistan,Tirinkot,"Tirinkot, Afghanistan"
140,Afghanistan,Torghundi,"Torghundi, Afghanistan"
141,Afghanistan,Torkham,"Torkham, Afghanistan"
142,Afghanistan,Towraghondi,"Towraghondi, Afghanistan"
143,Afghanistan,Urgoon,"Urgoon, Afghanistan"
144,Afghanistan,Uruzgan,"Uruzgan, Afghanistan"
145,Afghanistan,Zaranj,"Zaranj, Afghanistan"
146,Afghanistan,Zhari Dasht,"Zhari Dasht, Afghanistan"
147,Antigua and barbuda,Antigua,"Antigua, Antigua and barbuda"
148,Antigua and barbuda,Barbuda,"Barbuda, Antigua and barbuda"
149,Antigua and barbuda,Falmouth,"Falmouth, Antigua and barbuda"
150,Antigua and barbuda,Parham,"Parham, Antigua and barbuda"
151,Antigua and barbuda,Saint John's,"Saint John's, Antigua and barbuda"
152,Anguilla,Anguilla,"Anguilla, Anguilla"
153,Anguilla,Blowing Point,"Blowing Point, Anguilla"
154,Anguilla,Crocus Hill,"Crocus Hill, Anguilla"
155,Anguilla,Meads Bay Beach,"Meads Bay Beach, Anguilla"
156,Anguilla,Road Bay,"Road Bay, Anguilla"
157,Anguilla,Sombrero,"Sombrero, Anguilla"
158,Anguilla,The Forest,"The Forest, Anguilla"
159,Anguilla,The Road,"The Road, Anguilla"
160,Anguilla,The Valley,"The Valley, Anguilla"
161,Anguilla,Wall Blake,"Wall Blake, Anguilla"
162,Albania,Argyrokastro,"Argyrokastro, Albania"
163,Albania,Berat,"Berat, Albania"
164,Albania,Bulqize,"Bulqize, Albania"
165,Albania,Butrint,"Butrint, Albania"
166,Albania,Durres,"Durres, Albania"
167,Albania,Elbasan,"Elbasan, Albania"
168,Albania,Fier,"Fier, Albania"
169,Albania,Fushe Arrez,"Fushe Arrez, Albania"
170,Albania,Gjirokaster,"Gjirokaster, Albania"
171,Albania,Himare,"Himare, Albania"
172,Albania,Korce,"Korce, Albania"
173,Albania,Kukes,"Kukes, Albania"
174,Albania,Lezhe,"Lezhe, Albania"
175,Albania,Lushnje,"Lushnje, Albania"
176,Albania,Mbreshtan,"Mbreshtan, Albania"
177,Albania,Milot,"Milot, Albania"
178,Albania,Romano Port,"Romano Port, Albania"
179,Albania,Sarande,"Sarande, Albania"
180,Albania,Shengjin,"Shengjin, Albania"
181,Albania,Shkoder,"Shkoder, Albania"
182,Albania,Shkozet,"Shkozet, Albania"
183,Albania,Tenes,"Tenes, Albania"
184,Albania,Tirana,"Tirana, Albania"
185,Albania,Vlore,"Vlore, Albania"
186,Albania,Vore,"Vore, Albania"
187,Armenia,Abovyan,"Abovyan, Armenia"
188,Armenia,Akhuryan,"Akhuryan, Armenia"
189,Armenia,Aparan,"Aparan, Armenia"
190,Armenia,Aragatsotn,"Aragatsotn, Armenia"
191,Armenia,Ararat,"Ararat, Armenia"
192,Armenia,Armavir,"Armavir, Armenia"
193,Armenia,Ashtarak,"Ashtarak, Armenia"
194,Armenia,Berd,"Berd, Armenia"
195,Armenia,Byureghavan,"Byureghavan, Armenia"
196,Armenia,Dilijan,"Dilijan, Armenia"
197,Armenia,Ecmiadzin,"Ecmiadzin, Armenia"
198,Armenia,Goris,"Goris, Armenia"
199,Armenia,Gyumri,"Gyumri, Armenia"
200,Armenia,Hrazdan,"Hrazdan, Armenia"
201,Armenia,Jermuk,"Jermuk, Armenia"
202,Armenia,Kajaran,"Kajaran, Armenia"
203,Armenia,Kapan,"Kapan, Armenia"
204,Armenia,Masis,"Masis, Armenia"
205,Armenia,Mets Masrik,"Mets Masrik, Armenia"
206,Armenia,Metsamor,"Metsamor, Armenia"
207,Armenia,Rind,"Rind, Armenia"
208,Armenia,Spitak,"Spitak, Armenia"
209,Armenia,Vanadzor,"Vanadzor, Armenia"
210,Armenia,Vedi,"Vedi, Armenia"
211,Armenia,Yerevan,"Yerevan, Armenia"
212,Angola,Ambriz,"Ambriz, Angola"
213,Angola,Andulo,"Andulo, Angola"
214,Angola,Armada Olombendo FPSO,"Armada Olombendo FPSO, Angola"
215,Angola,Baba,"Baba, Angola"
216,Angola,Baia dos Tigres,"Baia dos Tigres, Angola"
217,Angola,Barra do Dande,"Barra do Dande, Angola"
218,Angola,Belas,"Belas, Angola"
219,Angola,Benguela,"Benguela, Angola"
220,Angola,Cabinda,"Cabinda, Angola"
221,Angola,Cafunfo,"Cafunfo, Angola"
222,Angola,Cangamba,"Cangamba, Angola"
223,Angola,Capanda,"Capanda, Angola"
224,Angola,Capulo,"Capulo, Angola"
225,Angola,Catumbela,"Catumbela, Angola"
226,Angola,Cazombo,"Cazombo, Angola"
227,Angola,Chitato,"Chitato, Angola"
228,Angola,CLOV FPSO,"CLOV FPSO, Angola"
229,Angola,Cuio,"Cuio, Angola"
230,Angola,Cuito Cuanavale,"Cuito Cuanavale, Angola"
231,Angola,Dalia,"Dalia, Angola"
232,Angola,Dirico,"Dirico, Angola"
233,Angola,Dombe Grande,"Dombe Grande, Angola"
234,Angola,Dundo,"Dundo, Angola"
235,Angola,Essungo Terminal,"Essungo Terminal, Angola"
236,Angola,Farta Bay,"Farta Bay, Angola"
237,Angola,Futila Terminal,"Futila Terminal, Angola"
238,Angola,Gimboa,"Gimboa, Angola"
239,Angola,Girassol Terminal,"Girassol Terminal, Angola"
240,Angola,Greater Plutonio,"Greater Plutonio, Angola"
241,Angola,Huambo,"Huambo, Angola"
242,Angola,Jamba,"Jamba, Angola"
243,Angola,Kiame Terminal,"Kiame Terminal, Angola"
244,Angola,Kuito,"Kuito, Angola"
245,Angola,Kuito Terminal,"Kuito Terminal, Angola"
246,Angola,Landana (Cacongo),"Landana (Cacongo), Angola"
247,Angola,Lieura,"Lieura, Angola"
248,Angola,Lobito,"Lobito, Angola"
249,Angola,Lombo Terminal,"Lombo Terminal, Angola"
250,Angola,Luanda,"Luanda, Angola"
251,Angola,Luau,"Luau, Angola"
252,Angola,Lubango,"Lubango, Angola"
253,Angola,Lucira,"Lucira, Angola"
254,Angola,Luena,"Luena, Angola"
255,Angola,Lukapa,"Lukapa, Angola"
256,Angola,Lumbala,"Lumbala, Angola"
257,Angola,Luzamba,"Luzamba, Angola"
258,Angola,Malange,"Malange, Angola"
259,Angola,Malembo,"Malembo, Angola"
260,Angola,Malongo,"Malongo, Angola"
261,Angola,Maquela Do Zombo,"Maquela Do Zombo, Angola"
262,Angola,Matala,"Matala, Angola"
263,Angola,M'banza Congo,"M'banza Congo, Angola"
264,Angola,Menongue,"Menongue, Angola"
265,Angola,Mocamedes,"Mocamedes, Angola"
266,Angola,Namibe,"Namibe, Angola"
267,Angola,N'dalatando,"N'dalatando, Angola"
268,Angola,Negage,"Negage, Angola"
269,Angola,Noqui,"Noqui, Angola"
270,Angola,N'Riquinha,"N'Riquinha, Angola"
271,Angola,Nzagi,"Nzagi, Angola"
272,Angola,N'Zeto,"N'Zeto, Angola"
273,Angola,N'Zeto (Ambrizete),"N'Zeto (Ambrizete), Angola"
274,Angola,Ondjiva,"Ondjiva, Angola"
275,Angola,Ongiva,"Ongiva, Angola"
276,Angola,Palanca Terminal,"Palanca Terminal, Angola"
277,Angola,Pazflor FPSO,"Pazflor FPSO, Angola"
278,Angola,Porto Alexandre (Tombua),"Porto Alexandre (Tombua), Angola"
279,Angola,Porto Amboim,"Porto Amboim, Angola"
280,Angola,Porto Saco (Portosalazar),"Porto Saco (Portosalazar), Angola"
281,Angola,River Sao Nicolau,"River Sao Nicolau, Angola"
282,Angola,Santa Clara,"Santa Clara, Angola"
283,Angola,Saurimo,"Saurimo, Angola"
284,Angola,Saxi Batuque FPSO,"Saxi Batuque FPSO, Angola"
285,Angola,Sazaire Terminal,"Sazaire Terminal, Angola"
286,Angola,Soyo,"Soyo, Angola"
287,Angola,Soyo-Quinfuquena Terminal,"Soyo-Quinfuquena Terminal, Angola"
288,Angola,Sumbe,"Sumbe, Angola"
289,Angola,Takula Terminal,"Takula Terminal, Angola"
290,Angola,Uige,"Uige, Angola"
291,Angola,Viana,"Viana, Angola"
292,Angola,Waku Kungo,"Waku Kungo, Angola"
293,Angola,Xangongo,"Xangongo, Angola"
294,Antarctica,Aboa,"Aboa, Antarctica"
295,Antarctica,Amundsen-Scott,"Amundsen-Scott, Antarctica"
296,Antarctica,Arctowski,"Arctowski, Antarctica"
297,Antarctica,Artigas,"Artigas, Antarctica"
298,Antarctica,Arturo Prat,"Arturo Prat, Antarctica"
299,Antarctica,Belgrano II,"Belgrano II, Antarctica"
300,Antarctica,Bellingshausen,"Bellingshausen, Antarctica"
301,Antarctica,Casey Station,"Casey Station, Antarctica"
302,Antarctica,Comandante Ferraz,"Comandante Ferraz, Antarctica"
303,Antarctica,Concordia,"Concordia, Antarctica"
304,Antarctica,Davis Station,"Davis Station, Antarctica"
305,Antarctica,Dome Fuji,"Dome Fuji, Antarctica"
306,Antarctica,Druzhnaya 4,"Druzhnaya 4, Antarctica"
307,Antarctica,Dumont d'Urville Station,"Dumont d'Urville Station, Antarctica"
308,Antarctica,Escudero,"Escudero, Antarctica"
309,Antarctica,Esperanza,"Esperanza, Antarctica"
310,Antarctica,Gabriel de Castilla,"Gabriel de Castilla, Antarctica"
311,Antarctica,General Bernardo O'higgins,"General Bernardo O'higgins, Antarctica"
312,Antarctica,Great Wall,"Great Wall, Antarctica"
313,Antarctica,Halley,"Halley, Antarctica"
314,Antarctica,Jang Bogo Station,"Jang Bogo Station, Antarctica"
315,Antarctica,Juan Carlos Primero,"Juan Carlos Primero, Antarctica"
316,Antarctica,Jubany,"Jubany, Antarctica"
317,Antarctica,King Sejong,"King Sejong, Antarctica"
318,Antarctica,Kohnen,"Kohnen, Antarctica"
319,Antarctica,Law Base,"Law Base, Antarctica"
320,Antarctica,Maitri,"Maitri, Antarctica"
321,Antarctica,Marambio,"Marambio, Antarctica"
322,Antarctica,Mario Zucchelli,"Mario Zucchelli, Antarctica"
323,Antarctica,Mawson Station,"Mawson Station, Antarctica"
324,Antarctica,McMurdo,"McMurdo, Antarctica"
325,Antarctica,Mirny,"Mirny, Antarctica"
326,Antarctica,Neumayer,"Neumayer, Antarctica"
327,Antarctica,Novolazarevskaya,"Novolazarevskaya, Antarctica"
328,Antarctica,Orcadas,"Orcadas, Antarctica"
329,Antarctica,Palmer,"Palmer, Antarctica"
330,Antarctica,Port Foster,"Port Foster, Antarctica"
331,Antarctica,Progress,"Progress, Antarctica"
332,Antarctica,Rothera,"Rothera, Antarctica"
333,Antarctica,San Martin,"San Martin, Antarctica"
334,Antarctica,SANAE IV,"SANAE IV, Antarctica"
335,Antarctica,Scott Base,"Scott Base, Antarctica"
336,Antarctica,Signy,"Signy, Antarctica"
337,Antarctica,Syowa,"Syowa, Antarctica"
338,Antarctica,Teniente R Marsh,"Teniente R Marsh, Antarctica"
339,Antarctica,Tor,"Tor, Antarctica"
340,Antarctica,Troll,"Troll, Antarctica"
341,Antarctica,Vernadsky,"Vernadsky, Antarctica"
342,Antarctica,Vostok,"Vostok, Antarctica"
343,Antarctica,Wasa,"Wasa, Antarctica"
344,Antarctica,Zhongshan,"Zhongshan, Antarctica"
345,Argentina,Abasto,"Abasto, Argentina"
346,Argentina,Acaragua,"Acaragua, Argentina"
347,Argentina,Acassuso,"Acassuso, Argentina"
348,Argentina,Acevedo,"Acevedo, Argentina"
349,Argentina,Acheral,"Acheral, Argentina"
350,Argentina,Adelia Maria,"Adelia Maria, Argentina"
351,Argentina,Agrelo,"Agrelo, Argentina"
352,Argentina,Aguilares,"Aguilares, Argentina"
353,Argentina,Aimogasta,"Aimogasta, Argentina"
354,Argentina,Albardon,"Albardon, Argentina"
355,Argentina,Alberti,"Alberti, Argentina"
356,Argentina,Aldea Escolar,"Aldea Escolar, Argentina"
357,Argentina,Alderetes,"Alderetes, Argentina"
358,Argentina,Allen,"Allen, Argentina"
359,Argentina,Almafuerte,"Almafuerte, Argentina"
360,Argentina,Alsina,"Alsina, Argentina"
361,Argentina,Alto de Sierra,"Alto de Sierra, Argentina"
362,Argentina,Alto Rio Senguerr,"Alto Rio Senguerr, Argentina"
363,Argentina,Alto Verde,"Alto Verde, Argentina"
364,Argentina,Alvarez,"Alvarez, Argentina"
365,Argentina,Alvear,"Alvear, Argentina"
366,Argentina,Anatuya,"Anatuya, Argentina"
367,Argentina,Ancon,"Ancon, Argentina"
368,Argentina,Andacollo,"Andacollo, Argentina"
369,Argentina,Andalgala,"Andalgala, Argentina"
370,Argentina,Anelo,"Anelo, Argentina"
371,Argentina,Angaco,"Angaco, Argentina"
372,Argentina,Apolinario Saravia,"Apolinario Saravia, Argentina"
373,Argentina,Apostoles,"Apostoles, Argentina"
374,Argentina,Aranguren,"Aranguren, Argentina"
375,Argentina,Arias,"Arias, Argentina"
376,Argentina,Aristobulo del Valle,"Aristobulo del Valle, Argentina"
377,Argentina,Armstrong,"Armstrong, Argentina"
378,Argentina,Arrecifes,"Arrecifes, Argentina"
379,Argentina,Arroyito,"Arroyito, Argentina"
380,Argentina,Arroyo Seco,"Arroyo Seco, Argentina"
381,Argentina,Asturias,"Asturias, Argentina"
382,Argentina,Atucha,"Atucha, Argentina"
383,Argentina,Avellaneda,"Avellaneda, Argentina"
384,Argentina,Avellaneda,"Avellaneda, Argentina"
385,Argentina,Azul,"Azul, Argentina"
386,Argentina,Bahia Blanca,"Bahia Blanca, Argentina"
387,Argentina,Bahia San Blas,"Bahia San Blas, Argentina"
388,Argentina,Bajo Grande,"Bajo Grande, Argentina"
389,Argentina,Bajo Hondo,"Bajo Hondo, Argentina"
390,Argentina,Balcarce,"Balcarce, Argentina"
391,Argentina,Ballesteros,"Ballesteros, Argentina"
392,Argentina,Banda del Rio Sali,"Banda del Rio Sali, Argentina"
393,Argentina,Banfield,"Banfield, Argentina"
394,Argentina,Baradero,"Baradero, Argentina"
395,Argentina,Barrancas,"Barrancas, Argentina"
396,Argentina,Barranqueras,"Barranqueras, Argentina"
397,Argentina,Barreal,"Barreal, Argentina"
398,Argentina,Barrio Batan,"Barrio Batan, Argentina"
399,Argentina,Barrio Marquez de Sobremonte,"Barrio Marquez de Sobremonte, Argentina"
400,Argentina,Beccar,"Beccar, Argentina"
401,Argentina,Belen de Escobar,"Belen de Escobar, Argentina"
402,Argentina,Bell Ville,"Bell Ville, Argentina"
403,Argentina,Bella Vista,"Bella Vista, Argentina"
404,Argentina,Bella Vista,"Bella Vista, Argentina"
405,Argentina,Bella Vista,"Bella Vista, Argentina"
406,Argentina,Benavidez,"Benavidez, Argentina"
407,Argentina,Bengolea,"Bengolea, Argentina"
408,Argentina,Benito Juarez,"Benito Juarez, Argentina"
409,Argentina,Berazategui,"Berazategui, Argentina"
410,Argentina,Bernal,"Bernal, Argentina"
411,Argentina,Bombal,"Bombal, Argentina"
412,Argentina,Boulogne,"Boulogne, Argentina"
413,Argentina,Bowen,"Bowen, Argentina"
414,Argentina,Bragado,"Bragado, Argentina"
415,Argentina,Brandsen,"Brandsen, Argentina"
416,Argentina,Buenos Aires,"Buenos Aires, Argentina"
417,Argentina,Burruyacu,"Burruyacu, Argentina"
418,Argentina,Burzaco,"Burzaco, Argentina"
419,Argentina,Caballito,"Caballito, Argentina"
420,Argentina,Cabo San Antonio,"Cabo San Antonio, Argentina"
421,Argentina,Cafayate,"Cafayate, Argentina"
422,Argentina,Calabacillas,"Calabacillas, Argentina"
423,Argentina,Caleta Cordoba,"Caleta Cordoba, Argentina"
424,Argentina,Caleta Olivia,"Caleta Olivia, Argentina"
425,Argentina,Campana,"Campana, Argentina"
426,Argentina,Campo Grande,"Campo Grande, Argentina"
427,Argentina,Campo Largo,"Campo Largo, Argentina"
428,Argentina,Campo Quijano,"Campo Quijano, Argentina"
429,Argentina,Campo Ramon,"Campo Ramon, Argentina"
430,Argentina,Campo Salto,"Campo Salto, Argentina"
431,Argentina,Campo Santo,"Campo Santo, Argentina"
432,Argentina,Campo Viera,"Campo Viera, Argentina"
433,Argentina,Canada de Gomez,"Canada de Gomez, Argentina"
434,Argentina,Canada Rosquin,"Canada Rosquin, Argentina"
435,Argentina,Canals,"Canals, Argentina"
436,Argentina,Candelaria,"Candelaria, Argentina"
437,Argentina,Canning,"Canning, Argentina"
438,Argentina,Canuelas,"Canuelas, Argentina"
439,Argentina,Capilla del Senor,"Capilla del Senor, Argentina"
440,Argentina,Capitan Bermudez,"Capitan Bermudez, Argentina"
441,Argentina,Capitan Sarmiento,"Capitan Sarmiento, Argentina"
442,Argentina,Carcarana,"Carcarana, Argentina"
443,Argentina,Carlos Casares,"Carlos Casares, Argentina"
444,Argentina,Carmen de Areco,"Carmen de Areco, Argentina"
445,Argentina,Carmen de Patagones,"Carmen de Patagones, Argentina"
446,Argentina,Carmen Del Sauce,"Carmen Del Sauce, Argentina"
447,Argentina,Carnerillo,"Carnerillo, Argentina"
448,Argentina,Caseros,"Caseros, Argentina"
449,Argentina,Casilda,"Casilda, Argentina"
450,Argentina,Castelar,"Castelar, Argentina"
451,Argentina,Catamarca,"Catamarca, Argentina"
452,Argentina,Catinzaco,"Catinzaco, Argentina"
453,Argentina,Catrilo,"Catrilo, Argentina"
454,Argentina,Caucete,"Caucete, Argentina"
455,Argentina,Caviahue,"Caviahue, Argentina"
456,Argentina,Centenario,"Centenario, Argentina"
457,Argentina,Ceres,"Ceres, Argentina"
458,Argentina,Cerro Azul,"Cerro Azul, Argentina"
459,Argentina,Cevil Pozo,"Cevil Pozo, Argentina"
460,Argentina,Cevil Redondo,"Cevil Redondo, Argentina"
461,Argentina,Chabas,"Chabas, Argentina"
462,Argentina,Chacabuco,"Chacabuco, Argentina"
463,Argentina,Chacras De Coria,"Chacras De Coria, Argentina"
464,Argentina,Chajari,"Chajari, Argentina"
465,Argentina,Charata,"Charata, Argentina"
466,Argentina,Chascomus,"Chascomus, Argentina"
467,Argentina,Chilecito,"Chilecito, Argentina"
468,Argentina,Chimbas,"Chimbas, Argentina"
469,Argentina,Chimpay,"Chimpay, Argentina"
470,Argentina,Chivilcoy,"Chivilcoy, Argentina"
471,Argentina,Choele Choel,"Choele Choel, Argentina"
472,Argentina,Chos Malal,"Chos Malal, Argentina"
473,Argentina,Cinco Saltos,"Cinco Saltos, Argentina"
474,Argentina,Cipoletti,"Cipoletti, Argentina"
475,Argentina,City Bell,"City Bell, Argentina"
476,Argentina,Ciudad Evita,"Ciudad Evita, Argentina"
477,Argentina,Ciudadela,"Ciudadela, Argentina"
478,Argentina,Classon,"Classon, Argentina"
479,Argentina,Clorinda,"Clorinda, Argentina"
480,Argentina,Colazo,"Colazo, Argentina"
481,Argentina,Colon,"Colon, Argentina"
